Id,n_nouns
sAZG7g,6
jgs1KP,8
cROadH,11
XGrfcQ,8
UwKoCL,8
o59y4Q,9
A2CNts,12
6ZYEyE,6
erstJp,5
nG3v0k,12
7jdXcZ,10
zxnkQD,7
CuX8I5,12
hlEjpa,5
20FeId,8
K86Ekc,15
N0NWmI,9
0UT3jk,11
h2hiK9,8
GVqGG1,10
VuxKrw,11
1MbvBr,13
BtMsMf,13
ylx0Wx,12
FSTCtf,11
DQJ6ZQ,9
q5JGTU,9
6mQK2t,12
dHgq39,7
cptRBv,12
S2DElu,12
qybkyq,11
stR66i,9
irAWhq,11
4RgOBL,12
jy4l0k,9
OwM7hf,9
EKY5M0,8
NU76Fi,6
2TduU9,9
48TvgT,11
zUIVzx,12
W3e6mb,8
ntm7ZF,13
NdlSXJ,9
Soyt9k,12
wfnQdA,11
G3R765,11
6vdSRs,10
ZtblAe,10
EkW517,6
FZDZNw,8
WvPpVR,11
r8VoKs,11
wabEWc,10
7fKyUb,8
oFbOMy,9
z7LvhT,12
v6jdUf,10
04eUIC,8
K3XeAD,13
qaUZtI,11
VeyDcF,10
jF7q3d,11
0c1dby,9
PxumAg,6
5FDVen,11
jBkt9l,5
M3ImVU,11
iifpV9,9
hq5s5K,8
qgoT9T,8
EWKMuk,9
Mk1uwW,5
r8ajA3,12
VlcLtX,11
VHmM74,10
2hJuIU,10
hI8PO9,11
6jclO0,11
uknVMQ,8
SE2BP3,10
10AvNV,9
MJuI3k,12
exSoHv,13
u7o8GC,9
tF0kEP,10
FKufLD,10
lzfNT2,8
GXO8eZ,9
i5CK6g,10
2sn64O,5
pEiAe2,10
yOGdXA,14
rwhcqO,11
wU2EOM,9
0KOAox,9
lk0fTq,9
PLqot7,7
050Y7Q,9
qA8aos,14
jDyyYP,6
7LHYK0,11
7Xq51V,11
NibZDi,12
56RhTV,8
xHtJqt,12
3cGqNX,9
pgsHR9,12
XUadfW,12
eABQpW,10
ZSH7Qr,8
0ALXuv,10
GLGceb,10
Lhl72D,7
tRsAOf,11
0pzoUo,8
esMTd3,9
21uILf,7
UeqYig,12
Gqxc7S,12
hN6NPw,9
rA2UHo,11
VS9zgg,9
3xt2mD,11
7tPPkU,6
VCUBWD,11
KiOcQq,13
fL0ScI,5
5vyOaV,12
4KEKNs,12
wG21In,12
zI4pep,11
DuDila,6
P3wtoh,15
8ZyJNS,14
7DAOYI,9
LVOSrj,13
OrxeI7,12
xTTSmy,11
wQRbwd,8
NPpQn4,12
iTukuS,8
vQmwnY,10
embSNa,10
QJi49u,7
ZPjlll,9
mALGQZ,8
AHmNW7,10
RJXcoK,8
K9RKNl,11
F84SDO,11
y7bSkX,15
13jJqJ,12
7neMRS,8
mhYpbs,9
rhuYqm,15
CRLbmr,6
1v2XtT,8
yP3vMw,9
FH27Wg,9
cJFuwq,10
Xg1OYI,11
iW5CpG,9
mtVjx7,12
esXIfQ,11
jIiF5l,7
ZCKram,10
M42MJx,12
mhqsJz,12
lMiWL8,10
Vc1bdi,9
FakI0G,11
NlLTgT,8
7PgP3u,7
ILIKZr,8
X6aj1k,10
aCO0UW,9
SYBYh1,12
jWDNcV,10
qwa5mj,8
nRU6dN,11
zg48Dp,9
mlJ36l,7
wvy6eX,11
bp2Z9B,16
kSIG6q,8
SEhyRp,12
HGJkXE,10
b6voP5,13
QuY2aG,8
j1VE3k,8
HIAqoL,15
GqTeco,11
itHOvc,7
qTPWRh,12
UeZywn,9
c0g99i,7
hCZ6YZ,8
gpUZYU,9
2qNmvi,12
AEauNz,10
jL78fX,11
yIVFOH,8
AcuLSh,9
1hrmhl,10
qJJLm3,6
SpR3oV,13
hRDsuL,9
rf31sB,11
ewoDTd,10
mlD8kl,12
SsVcZl,11
qHPgAF,12
SHsVl0,11
Ez3ftd,9
vFUMVX,12
NWpkD9,10
YyrbKs,9
bTNiLT,9
6gNNbF,9
hamZ0o,11
0FKinS,10
OATH0G,9
eKxe0N,9
vkx7JU,8
ZHXVVi,8
jzPEj3,12
jbzCFT,12
3Cts6Z,9
l6xTl8,11
8E8TuE,8
zzFICt,11
v9Vies,7
9VhZSr,8
YZL3Pd,11
JqutMU,13
lRxj4g,12
UtigxF,6
9AIcdP,6
qvI0am,13
iQzW2m,10
6txzuG,12
3DVo0g,11
UmEeEZ,8
pQLml7,10
pGhF7L,16
UjDhXo,11
npOo8z,7
wx8C6Z,9
3p7bGf,11
khP1iy,7
hQsO4w,14
qw4LCQ,10
r1eqZM,10
Ithvng,13
BIU7l7,6
xWOruT,12
hAS3CA,9
OJol3D,12
CG3Ws7,9
Jzt2md,12
V76n75,12
9UKotH,11
Ki4aHR,10
RsBGKo,16
spehuD,10
STb51I,13
D6lmit,10
bprRJm,10
shXN6L,12
C8IzNT,13
1T7HPC,12
UflgxE,12
YjDHqf,8
xcOvRh,12
o4RTTV,9
N1LviI,13
xgc58m,13
71Hhrp,12
PhEg2p,15
TYJ9Li,11
vNjKOX,9
tZMkYF,8
JvHf2H,8
jjhfRk,9
noCgTh,8
ZYQr4G,12
DYvpJZ,11
PPSO8E,8
G0go9V,10
0JWCf7,13
SrBVNm,8
Cx3yNd,13
nFqMQe,9
3D6vm9,11
ehZlah,14
zhSKze,13
3ELGE0,12
MLvnLh,10
z2VMoC,10
qVBLrh,11
SmeZQO,11
YFqOpZ,12
FMuJYU,13
fcARdp,6
V6GBIH,8
p5H8l9,9
2OPI31,11
8YQyd3,12
tnl4nu,8
dHFAQP,7
6wSbd6,8
GenVYJ,13
cv8Pg8,9
7GpdiG,11
YAyWMz,5
8XNTyT,7
JdtmIF,9
BMCK1D,10
YjFqcl,10
iVnK20,12
Qmzywy,11
BuscEt,9
WDkNBQ,8
pFRCNm,12
g4maiy,6
RpNWxx,7
gc53pF,7
TH89NC,9
SKPzXe,8
z4bfCg,8
Ge3ITv,11
MULcc7,13
IVKaGr,8
JckROA,11
AVOqjN,10
eoj5v8,10
M1Zajy,13
soxvXm,14
2DIH7G,13
cFfb1v,11
vOi1mC,11
uHNKr0,8
0KIu5B,6
NLVdmN,8
CsznHj,9
cXS446,12
sbEGHm,12
e1dDUU,10
tHhlDw,9
BanS3L,15
Hm0LNI,11
hhaZ12,11
RYMfc3,9
QIzO6u,11
JFqOOR,10
vKtkzf,12
Jo3yGU,12
q25juj,16
cWguES,9
5u3UNd,8
Rs40CJ,10
HDcSUv,9
cNYDIE,7
Y6RDsN,12
eAfPwm,8
ohYvkz,8
m5Iisd,10
Mf9tg3,12
rx2Kp0,12
55xcW1,13
viknQf,10
qAyLAg,9
bqCvyQ,11
WuSWL4,11
RoMu6P,6
xcWKyP,13
MxpPxI,11
izB9hG,11
9oOed3,11
YgNQPI,11
lUAvRP,13
rRyqT9,6
gpLxe8,14
fpUT5v,10
X6U6bo,11
0wiUEb,8
YKSUbg,10
F6jaK1,12
mnYFlF,13
mAGrw6,7
HXjZ9P,13
RCBQCe,10
jZIG50,9
OG2cNm,14
pJU05v,13
vYQXJL,12
ZqZBfJ,5
AfCMhB,11
tSJDNG,9
hvVxXx,13
dnQDLt,11
JdY6iE,8
jbmxQU,13
go4xXY,14
MJNBT4,13
ZB3PBz,12
kDcOFZ,6
D8MpMn,12
gaP7Mp,6
mjFrbF,8
u7fU9a,11
MxjAPV,7
fxeFx0,10
hbnrPo,9
hOGPYt,9
48j2Bg,9
TDntJ0,11
SFbrQZ,8
uvPXK6,12
JBrdGE,9
WvElgb,13
kGQLGG,16
1c1HKq,10
jONNXe,7
Migaes,15
AIzn2D,6
3qSEOP,10
5uXS6p,11
EGRBEs,8
Og02Za,12
fOort2,12
gS17Zr,10
A3lLbm,12
YPoxw3,9
KTXKDu,17
RHSeaA,14
Bhoy1Q,9
VMGI5G,7
kjvb1u,6
S4MLh8,12
n41sIQ,11
ay3jpt,8
SpnYp5,12
kAk4fn,11
Ymny29,11
jvaVEK,9
ckAbSV,12
xFZzvg,9
LmobpG,8
7CMvni,10
mGlHxe,11
5zYTP9,14
az2TQZ,9
xCR3Yt,11
JdCMk2,8
MBNp4N,18
jJJoPg,14
o8nYZL,12
R2uhZn,13
rbpreh,8
lvpKQB,9
3UdMxH,9
AWVSKA,12
L4SsLT,11
OHiHQm,11
20E9fg,6
x3gpF1,9
tMEHbe,8
zh9cx5,3
FTkNei,12
FU0li8,9
9KAfTb,3
siJNU3,9
6Nn9Ue,5
gvREQm,13
SkoEAQ,5
OOxaDh,4
zvN5dD,10
2NdnQg,5
LSZsYD,7
zC3ML4,2
Awxn9v,7
XvSZvw,5
4ZY2oz,7
HVSpDL,2
TAojvZ,11
HtVdbU,6
4dLyDK,4
rYgTdi,2
Lu5vdM,3
uyLeui,10
XcUS1e,9
7X1aPp,10
62750H,2
qaenIX,5
sgUWjB,6
A7rdrg,7
hydgCh,3
z3727Q,9
nvC4WA,16
25poCW,3
pLoGKj,3
yy7Y58,5
ynPJLT,6
GY885i,8
PJcT5r,11
KW59dQ,12
OmghnX,2
kPhH8J,4
NEhdM6,10
6AxLKf,9
jyvYWh,3
sbg8V0,4
l8Camm,3
kKJlSg,5
RbplE2,8
gtQmmx,10
LAP8J1,10
LT3K8e,10
AbmkL5,11
CTR9hA,9
ZtYQm1,5
95PdB4,12
2flZic,3
TtEpjt,7
5SsRZM,8
PBLtNV,5
13MZ2c,3
oRu9lp,5
x4WUO2,3
6qPlnh,4
hi5ovh,10
r6Qh3D,5
u4MRkC,11
EGa8pO,10
g4fU4t,8
6N9iW9,5
jsnPSK,12
qoj8uP,6
x5RT5s,6
pktjOr,4
iaRnOP,11
haiAqu,9
EdmbRH,5
YXdhq0,4
Kz8NMB,3
c9m00L,5
COVnU8,7
1G3k1w,2
fytYre,6
5mVaCE,5
aLtgUR,4
j7FX5N,9
39ZQIb,11
WtGwAI,4
XzSjfb,5
kwZyKx,8
uufrdx,4
llkLPG,9
U3owHy,8
9g0EBE,8
vpsyFj,9
U5LlXe,10
75yZpW,6
JBDAbQ,1
i8A5K1,4
Ih0V7K,13
Yzx9Nm,6
30BfIG,4
XR9u0z,5
3gI4HO,1
tBnX74,8
yLwzs1,6
WlhiBT,10
lrtgDX,3
7HQt8m,11
T7DDLu,5
YwAVtn,3
AiSi70,6
1OLPGy,11
Zk57sO,8
rU3vR8,6
bFXjt9,14
iRM9l3,3
yE406K,9
fwt5nq,0
onzIit,10
cAE5aw,10
GRM7tY,3
xfDjf4,5
Xws4nR,3
KHifCx,5
EHKsvK,3
fSNr2X,5
1l1X1f,5
AmlF0n,8
WAKhZe,2
yD9UyO,12
7dJmEP,5
0Z5SWb,9
dTBspr,5
sr2QQK,3
neobBy,6
WOA14n,3
PX3R7t,3
zQzNvC,4
iyTNXZ,4
dR8aXL,10
ltvt6M,8
zqw4Yo,8
Blx393,7
8aHKfI,4
eVXt8g,12
4eOeCh,7
MMzw2S,12
b6X9Il,5
dBnuli,4
wRzon2,2
vKHA3b,4
jUDPUn,3
beFUrV,6
Ud4sRQ,6
NkqGXm,4
i7m5ui,5
OuSPc8,9
vtOHXd,7
ibQw4b,4
MKKwZd,5
5fz8Y2,5
h1d8ef,11
0AXHQ9,5
r3u8RL,3
PP5yiY,3
pnkbFO,6
BhYdap,4
BbAZvq,7
iZTTSZ,7
uw0dNr,12
I1nEYG,9
p3FZyy,8
5NXaDO,3
AbAkDD,3
VqH0Th,9
8asO7g,3
8oPQ4x,4
tRurtK,10
v1c2R1,4
zYFJEf,3
uikIu1,4
lkGinq,14
ZqBSHR,12
onINjS,4
LPYQAc,6
3518Yx,12
B8pZ82,3
auSLRn,6
98RoQW,5
pKVxje,4
ODJ2pO,5
1RRBUS,4
W1Ud2w,10
SRTPnL,4
GLs2o8,1
HQkEYP,14
LP1fnh,7
LDszxm,2
a1gVF4,4
SkqjIk,7
a9i2Nv,4
vbpLQS,12
26xxyj,6
SGEnAJ,7
vu1n56,3
DI5iyL,1
m6YuYR,3
GA7YiT,7
sQYr1Z,2
UGdyTr,5
gUtCJi,4
edthnU,2
rLA3ln,3
9q28gW,9
mkgWVK,9
Zc5K4Y,4
LfBSZW,3
pYLfPA,5
f7tk4c,2
E03RR1,6
FAzbzG,12
weCBTB,1
9Q5jSz,4
Py4YbQ,9
6ZhAXS,10
RXqqiB,10
HdLXKL,3
pnWlVP,5
nkn3E3,5
1HAJov,6
r9RNc1,6
Wi1jxA,5
0Vg9YV,2
CVYt5M,3
cQT8ul,10
syVklS,3
uFmrbb,13
ziYlkB,6
zAvQCd,17
oK0FIL,3
DKGWfZ,4
h3lNqQ,3
z5F5Mt,8
2qOqKv,8
l3RRcM,11
QupPVZ,10
xzviXz,7
I3c4q8,12
lNwEnQ,7
XMaiUD,12
OEGXzB,6
RYGWiU,3
4o1hog,13
0CjnD8,12
b6f5fX,9
xpGxCi,14
apyQyU,11
6wrKzY,5
g2mdTD,5
yjfNr0,3
U1UgMx,3
XD39i7,8
PYO0F5,9
S78hnZ,7
b4Jplc,8
5kB8M9,4
J95vTN,2
zobHhv,5
v8aAzo,9
lPXauE,2
jPk9oz,2
AmotLP,12
iILFPG,13
tIpwXN,11
zqqO5j,11
gmPpRe,5
KtVSOE,7
cNpFHR,10
nnJKB8,5
5Cg0en,9
bKfCbl,4
VdqiGA,4
F6dmww,4
egK1bb,7
Z2Cvpd,11
7LQJDc,6
EukkBg,7
YEoYgZ,11
8lJU2K,13
cFZO1R,7
svRUCv,7
scqXbe,10
aQu1tq,11
Us9th2,9
zuYVRM,9
htSPjB,11
wIT65i,10
QqNnin,11
ferakZ,10
3yQt7T,10
rWejOu,9
7bsTTR,10
vTgCvB,13
dUqPXY,11
HgJYin,10
hZPcbX,10
Xd888X,9
lPcwCB,12
ErZTIK,11
i5bMVK,9
0Kt0M2,11
pN64Od,7
1Puwqd,13
3Pcrj9,8
AavJi7,9
HODrSr,6
VnoLQt,10
Wr5iXo,4
4KIuNj,3
a0Pum0,11
N40UKJ,3
pTrl9U,16
FNqJeo,7
6RNMj8,2
1gsAYm,2
a92DHK,2
ZWRMLs,11
DWASXY,3
vEyeGn,4
gMGDSZ,5
OjWklM,9
5lbncO,6
YK1wDW,7
SFQv11,5
OpYJl8,3
6teoag,12
lODbTS,8
Z6a35T,9
HTRVlr,12
31m7Mm,10
lgPk55,1
K4nO8i,12
a1Myrw,6
DMsBOQ,11
8SHnzt,3
iQQKU8,9
fmQFMz,11
dLIw5A,4
